timestamp,machine_id,mold_id,material_code,shift,ambient_temp_c,ambient_humidity_pct,resin_moisture_pct,barrel_zone1_temp_c,barrel_zone2_temp_c,barrel_zone3_temp_c,mold_temp_c,injection_pressure_mpa,holding_pressure_mpa,injection_speed_mm_s,cushion_mm,fill_time_s,holding_time_s,cooling_time_s,cycle_time_s,screw_rpm,back_pressure_mpa,clamping_force_kn,peak_cavity_pressure_mpa,cavity_pressure_integral,hydraulic_oil_temp_c,screw_torque_nm,defect_label
2026-04-01T08:00:00,IMM-03,MD-A12,PP-GF20,DAY,24.26,57.84,0.115,216,218.53,222.75,69.99,95.2,57.42,72.05,3.95,1.186,6.07,18.48,32.83,86.8,7.55,827.1,69.02,83.82,46.09,40.43,0
2026-04-01T08:00:42,IMM-02,MD-A12,PA6-GF30,DAY,19.12,58.89,0.116,231.04,242.01,248.73,77.7,99.01,64.37,67.98,3.72,1.071,8.16,18.93,36,78.6,7.97,857.3,77.44,79.72,42.15,46.46,0
2026-04-01T08:01:24,IMM-02,MD-B07,PA6-GF30,DAY,27.31,61.05,0.113,227.97,234.08,240.67,73.81,119.17,70.84,79.46,2.89,1.182,9.04,19.7,38.44,85,8.17,807.3,97.28,114.3,49.48,53.04,1
2026-04-01T08:02:06,IMM-02,MD-A12,PA6-GF30,EVENING,23.55,53.86,0.131,216.73,223.09,225.66,81.26,95.15,55.81,63.59,3.89,1.071,8.24,18.46,37.02,64.2,8.28,852.5,73.08,75.32,43.44,45.51,1
2026-04-01T08:02:48,IMM-01,MD-C03,PP-GF20,DAY,19.52,72.97,0.173,215.45,220.85,224.83,69.3,97.45,65.78,67.46,2.32,1.268,7.92,18.97,36.2,89.6,7.34,859.8,74.13,95.15,44.69,44.78,0
2026-04-01T08:03:30,IMM-01,MD-C03,PP-GF20,DAY,24.26,51.55,0.09,207.44,217.87,224.2,68.04,97.35,58.01,76.83,3.86,1.298,7.67,19.23,37.22,91.8,7.37,795.6,70.72,90.41,47.19,40.63,0
2026-04-01T08:04:12,IMM-04,MD-A12,PA6-GF30,DAY,21.24,43.45,0.226,235.68,241.46,245.58,79.24,100.81,62.89,75.13,5.09,1.172,8.83,16.9,35.01,81.3,9.54,820.7,81.86,99.06,48.07,52.11,0
2026-04-01T08:04:54,IMM-04,MD-B07,PP-GF20,EVENING,22.28,54.46,0.118,214.01,219.62,219.82,76.66,89.66,51.93,60.14,4.55,1.376,8.57,17.91,36.63,98.5,9.93,779,64.35,95.27,44.28,46.59,0
2026-04-01T08:05:36,IMM-04,MD-B07,PP-GF20,DAY,28.81,34.45,0.05,216.02,229.13,234.94,70.37,88.39,52.94,70.36,3.92,1.15,8.27,19.08,37.91,83.6,10.13,789.6,65.84,76.82,45.34,41.23,1
2026-04-01T08:06:18,IMM-01,MD-B07,ABS,NIGHT,23.55,60.93,0.134,214.53,220.2,225.65,74.36,97.55,57.65,65.7,3,0.98,7.54,17.49,33.84,94.3,8.93,786.5,71.59,73.41,43.45,46.15,0
